                  Header
Time              K.E              T      
20200.000000    34647.230469   305.607025 
20300.000000    35386.648438   312.128998 
20400.000000    35185.171875   310.351898 
20500.000000    34883.906250   307.694580 
20600.000000    34810.554688   307.047577 
20700.000000    35108.664062   309.677094 
20800.000000    35503.804688   313.162415 
20900.000000    34907.132812   307.899445 
21000.000000    34638.570312   305.530579 
21100.000000    35556.203125   313.624634 
21200.000000    35305.156250   311.410217 
21300.000000    34901.109375   307.846313 
21400.000000    34948.867188   308.267609 
21500.000000    34736.968750   306.398529 
21600.000000    34612.117188   305.297241 
21700.000000    34869.414062   307.566711 
21800.000000    35526.726562   313.364624 
21900.000000    35412.753906   312.359283 
22000.000000    35190.000000   310.394531 
22100.000000    35442.945312   312.625641 
22200.000000    34964.320312   308.403900 
22300.000000    34981.039062   308.551361 
22400.000000    35456.792969   312.747803 
22500.000000    34932.777344   308.125671 
22600.000000    35245.812500   310.886810 
22700.000000    35057.992188   309.230103 
22800.000000    34812.812500   307.067474 
22900.000000    35441.308594   312.611176 
23000.000000    35342.261719   311.737518 
23100.000000    34764.949219   306.645386 
23200.000000    35569.695312   313.743622 
23300.000000    35557.652344   313.637329 
23400.000000    35007.265625   308.782654 
23500.000000    35304.101562   311.400940 
23600.000000    34959.824219   308.364227 
23700.000000    35561.218750   313.668884 
23800.000000    34820.601562   307.136200 
23900.000000    34916.863281   307.985291 
24000.000000    34710.351562   306.163757 
24100.000000    35742.121094   315.264496 
24200.000000    34654.789062   305.673645 
24300.000000    34689.070312   305.976044 
24400.000000    35336.242188   311.684418 
24500.000000    35263.828125   311.045685 
24600.000000    34821.417969   307.143402 
24700.000000    34330.566406   302.813843 
24800.000000    35046.570312   309.129333 
24900.000000    35127.914062   309.846863 
25000.000000    35291.105469   311.286316 
25100.000000    35097.648438   309.579895 
25200.000000    35423.832031   312.457001 
25300.000000    34907.492188   307.902649 
25400.000000    34980.898438   308.550140 
25500.000000    35252.523438   310.945984 
25600.000000    35415.738281   312.385651 
25700.000000    34968.085938   308.437103 
25800.000000    35443.757812   312.632782 
25900.000000    34825.109375   307.175964 
26000.000000    35108.085938   309.671967 
26100.000000    35099.562500   309.596741 
26200.000000    35067.300781   309.312195 
26300.000000    35329.847656   311.628052 
26400.000000    34887.097656   307.722748 
26500.000000    36087.066406   318.307098 
26600.000000    35440.808594   312.606812 
26700.000000    35082.144531   309.443176 
26800.000000    35153.710938   310.074402 
26900.000000    35029.304688   308.977081 
27000.000000    34620.921875   305.374908 
27100.000000    35214.773438   310.613007 
27200.000000    35414.054688   312.370758 
27300.000000    34376.218750   303.216461 
27400.000000    35282.632812   311.211578 
27500.000000    34845.207031   307.353271 
27600.000000    34697.210938   306.047821 
27700.000000    35639.964844   314.363434 
27800.000000    35671.656250   314.642914 
27900.000000    35892.085938   316.587250 
28000.000000    34553.421875   304.779541 
28100.000000    35266.472656   311.069061 
28200.000000    35264.296875   311.049805 
28300.000000    34832.261719   307.239014 
28400.000000    34914.050781   307.960480 
28500.000000    35559.453125   313.653290 
28600.000000    35407.132812   312.309753 
28700.000000    35067.199219   309.311371 
28800.000000    35251.300781   310.935211 
28900.000000    35448.988281   312.678925 
29000.000000    34522.406250   304.505981 
29100.000000    35671.429688   314.640930 
29200.000000    35437.898438   312.581085 
29300.000000    35012.195312   308.826202 
29400.000000    35056.421875   309.216278 
29500.000000    35391.707031   312.173615 
29600.000000    34940.117188   308.190430 
29700.000000    34896.726562   307.807678 
29800.000000    35161.070312   310.139343 
29900.000000    34872.925781   307.597717 
30000.000000    35243.531250   310.866669 
30100.000000    34683.074219   305.923157 
30200.000000    35017.371094   308.871796 
30300.000000    35015.738281   308.857422 
30400.000000    35069.546875   309.332031 
30500.000000    35408.671875   312.323273 
30600.000000    35167.085938   310.192413 
30700.000000    34956.566406   308.335480 
30800.000000    35101.890625   309.617310 
30900.000000    35190.492188   310.398834 
31000.000000    35253.902344   310.958160 
31100.000000    34622.406250   305.388031 
31200.000000    35451.136719   312.697845 
31300.000000    35225.804688   310.710327 
31400.000000    35029.632812   308.979980 
31500.000000    35115.664062   309.738800 
31600.000000    35278.132812   311.171875 
31700.000000    35024.742188   308.936829 
31800.000000    34664.230469   305.756927 
31900.000000    35022.214844   308.914490 
32000.000000    35145.957031   310.005981 
32100.000000    35162.765625   310.154266 
32200.000000    35383.347656   312.099915 
32300.000000    35437.496094   312.577545 
32400.000000    35494.937500   313.084198 
32500.000000    34834.281250   307.256866 
32600.000000    34928.355469   308.086639 
32700.000000    35601.820312   314.026978 
32800.000000    34866.546875   307.541473 
32900.000000    35460.300781   312.778717 
33000.000000    35147.285156   310.017761 
33100.000000    35316.578125   311.510986 
33200.000000    34917.406250   307.990112 
33300.000000    34634.015625   305.490417 
33400.000000    35586.406250   313.890991 
33500.000000    34998.476562   308.705139 
33600.000000    35294.351562   311.314941 
33700.000000    35359.953125   311.893585 
33800.000000    36021.613281   317.729736 
33900.000000    35672.484375   314.650238 
34000.000000    34602.082031   305.208771 
34100.000000    35146.625000   310.011871 
34200.000000    34586.175781   305.068420 
34300.000000    34435.179688   303.736572 
34400.000000    35260.511719   311.016418 
34500.000000    35282.375000   311.209320 
34600.000000    35391.855469   312.175018 
34700.000000    35783.984375   315.633759 
34800.000000    35038.402344   309.057312 
34900.000000    35399.257812   312.240265 
35000.000000    34869.851562   307.570648 
35100.000000    35224.367188   310.697632 
35200.000000    35256.011719   310.976715 
35300.000000    34709.867188   306.159485 
35400.000000    35041.839844   309.087646 
35500.000000    34917.156250   307.987823 
35600.000000    35124.148438   309.813660 
35700.000000    34995.421875   308.678192 
35800.000000    35202.710938   310.506622 
35900.000000    35400.089844   312.247620 
36000.000000    34952.007812   308.295288 
36100.000000    35167.292969   310.194214 
36200.000000    35272.894531   311.125702 
36300.000000    35807.492188   315.841125 
36400.000000    35506.242188   313.183960 
36500.000000    34871.371094   307.584015 
36600.000000    34915.210938   307.970734 
36700.000000    34686.007812   305.949036 
36800.000000    34980.847656   308.549683 
36900.000000    34975.734375   308.504517 
37000.000000    35549.062500   313.561584 
37100.000000    35245.207031   310.881439 
37200.000000    34953.406250   308.307617 
37300.000000    35482.382812   312.973480 
37400.000000    35447.949219   312.669769 
37500.000000    35003.187500   308.746735 
37600.000000    34888.171875   307.732178 
37700.000000    35348.937500   311.796387 
37800.000000    35430.597656   312.516693 
37900.000000    35027.761719   308.963470 
38000.000000    35288.062500   311.259430 
38100.000000    34846.789062   307.367218 
38200.000000    34915.019531   307.969025 
38300.000000    34609.734375   305.276184 
38400.000000    35927.703125   316.901398 
38500.000000    35464.234375   312.813385 
38600.000000    35383.707031   312.103088 
38700.000000    34749.769531   306.511444 
38800.000000    35828.871094   316.029663 
38900.000000    35160.945312   310.138245 
39000.000000    35240.601562   310.840820 
39100.000000    35097.250000   309.576385 
39200.000000    34908.242188   307.909241 
39300.000000    35442.117188   312.618347 
39400.000000    35306.628906   311.423248 
39500.000000    35557.132812   313.632843 
39600.000000    34922.917969   308.038727 
39700.000000    35071.582031   309.349976 
39800.000000    35405.414062   312.294586 
39900.000000    35425.679688   312.473328 
40000.000000    35144.511719   309.993256 
40100.000000    34538.230469   304.645508 
40200.000000    34882.867188   307.685425 
40300.000000    35391.738281   312.173920 
40400.000000    34782.476562   306.799957 
40500.000000    35291.976562   311.293945 
40600.000000    35328.429688   311.615540 
40700.000000    34968.171875   308.437866 
40800.000000    35123.675781   309.809479 
40900.000000    35721.039062   315.078583 
41000.000000    34369.574219   303.157928 
41100.000000    35477.898438   312.933899 
